Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Baby/Toddler clothing features (product.metafields.shopify.baby-toddler-clothing-features),Baby/Toddler hat style (product.metafields.shopify.baby-toddler-hat-style),Baby/Toddler hosiery style (product.metafields.shopify.baby-toddler-hosiery-style),Baby/Toddler sleepwear style (product.metafields.shopify.baby-toddler-sleepwear-style),Boot style (product.metafields.shopify.boot-style),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Footwear material (product.metafields.shopify.footwear-material),Material (product.metafields.shopify.material),Occasion style (product.metafields.shopify.occasion-style),One-piece style (product.metafields.shopify.one-piece-style),Pants length type (product.metafields.shopify.pants-length-type),Shoe features (product.metafields.shopify.shoe-features),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Snowboard binding mount (product.metafields.test_data.binding_mount),Snowboard length (product.metafields.test_data.snowboard_length),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
newborn-gift-set,Newborn Clothing Gift Set,<p>Essential clothing set perfect for newborn gifting.</p>,BabyCare,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Outfits,Gift Set,"gift set, newborn",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,999.00,1499.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0796/6690/5337/files/babyset_2fba65e3-ea57-4198-a9f4-4e84b0b73a58.jpg?v=1770101487,1,"",false,,,breathable-design,,,,,,animal,,,cotton,,,,,,,,,unisex,,,,,kg,,,active
newborn-socks,Newborn Soft Cotton Socks,<p>Gentle cotton socks to keep tiny feet warm.</p>,BabyCare,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Socks & Tights,Socks,"newborn, socks",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,350.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0796/6690/5337/files/socks_fcbb2504-44a0-4101-933b-e07c15f37907.jpg?v=1770101567,1,"",false,,,breathable-design,,ankle-socks,,,,purple,,,cotton,,,,,,,,,unisex,,,,,kg,,,active
newborn-nightsuit,Newborn Night Suit,<p>Comfortable night suit for newborn babies.</p>,BabyCare,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Sleepwear,Night Suit,"newborn, nightsuit",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,150.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0796/6690/5337/files/black-baby-honey-comb-black-carrier-500x500.webp?v=1770102073,1,"",false,,,easy-to-use-buttons-snaps; breathable-design,,,nightgown,,,blue,,,,,,,,,,,,unisex,,,,,kg,,,active
newborn-swaddle,Newborn Cotton Swaddle,<p>Soft cotton swaddle for secure and cozy sleep.</p>,BabyCare,Baby & Toddler > Swaddling & Receiving Blankets > Swaddling Blankets,Swaddle,"newborn, swaddle",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,1299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0796/6690/5337/files/1A233_.mp4.webp?v=1770102166,1,"",false,,,,,,,,ties,blue; animal,,,,,cotton; plush,,,,,,,,,,,,kg,,,active
newborn-swaddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0796/6690/5337/files/blink_it_zepto_products.jpg9_23ff745a-e59b-423a-baed-638d6c8ff85e.jpg?v=1770102187,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newborn-cap,Newborn Cotton Cap,<p>Breathable cotton cap to keep newborn warm.</p>,BabyCare,Apparel & Accessories > Clothing Accessories > Baby & Toddler Clothing Accessories > Baby & Toddler Hats,Cap,"cap, cotton, newborn",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,699.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0796/6690/5337/files/Newborn-Baby-Caps-Collection.webp?v=1770101977,1,"",false,,,,beanie,,,,,multicolor,,,cotton,,,,,,,,,unisex,,,,,kg,,,active
newborn-mitten-set,Newborn Mitten & Bootie Set,<p>Soft cotton mittens and booties for newborn protection.</p>,BabyCare,Apparel & Accessories > Shoes > Baby & Toddler Shoes > Baby & Toddler Boots,Accessories,"booties, mittens, newborn",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0796/6690/5337/files/bootie_6dde41d2-8d8f-430d-82a3-44f726f83380.webp?v=1770101628,1,"",false,,,,,,,booties,elastic; slip-on,green,,,,cotton,,casual,,,breathable-design,,,unisex,,,,,kg,,,active
newborn-sleepsuit,Newborn Cotton Sleepsuit,<p>Comfortable sleepsuit to keep newborns cozy.</p>,BabyCare,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby One-Pieces,Sleepsuit,"newborn, sleepsuit",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,599.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0796/6690/5337/files/81FfawM1lOL._AC_UF894_1000_QL80.jpg?v=1770101883,1,"",false,,,easy-to-use-buttons-snaps; breathable-design,,,,,,striped,,,cotton,,,,romper,footed,,,long,unisex,,,,,kg,,,active
newborn-bodysuit,Newborn Soft Bodysuit,<p>Gentle and breathable bodysuit for daily newborn wear.</p>,BabyCare,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Tops > Bodysuits,Bodysuit,"bodysuit, newborn",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,399.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0796/6690/5337/files/bodysuit.jpg?v=1770101393,1,"",false,,,breathable-design,,,,,,white,,,cotton,,,,,,,,short,unisex,bodysuit,,,,kg,,,active
newborn-baby-frock,Newborn Baby Cotton Frock,<p>Lightweight cotton frock for delicate newborn skin.</p>,BabyCare,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Dresses,Frock,"cotton, frock, newborn",true,Title,Default Title,,,,,,,,,0.0,,deny,manual,99.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0796/6690/5337/files/frocks_b9bde5eb-be4a-490a-9b26-6d0fd264c7f3.avif?v=1770101681,1,"",false,,,breathable-design,,,,,,animal,casual; everyday; party,babydoll,cotton,,,,,,,short,cap,female,,,,,kg,,,active
